Comment,Rating,Date
"Came here with some friends after work for the all you can eat and it was a good experience. You can do the all you can eat option that gives you a select set of meats for a certain price or you can opt to get the more expensive cuts instead. There is a difference in quality of the cuts when it comes to the price as well. The servers come around with different meat options to choose from ranging from beef, lamb, pork and chicken. The lamb and beef were tender and cooked to perfection. They have an upstairs and downstairs section hood for large groups. My only issue was that later on in the dinner service, it felt like the servers forgot about us. I guess they thought we were full. Overall a great bang for your buck!",5.0,"May 14, 2023"
"Been here last week after hearing many good things about this place. It was actually nice looking and very clean, the open salad bar was great and with a variety of offers, starters and dishes. The meats started arriving and most of them were pretty good. I didn't personally enjoy the Parmesan pork and one or two more, but the others were good (I know I'm being generic, but we ate so much it's hard to remember exactly what we got!). For meat lovers this is a great option. We asked for Coca-Cola, the first one was good. The second one, they tell us they only have Coca-Cola Zero. We ask for two, then an other server asks us if we want to drink something, we say that we already asked for two cocacolas, they bring the zeros after 15 minutes, and two minutes later the second server bring us the regular ""draft"" ones (so they actually had it!!) They change them and they were absolutely without gas  so sad. Well, at least they didn't charge us extra, but they were bad. Oh, and they poured tap water in our glasses that were full of bottled water, absolutely ruining the 8.25$ that a bottle of Acqua Panna costed us. Except this long waiting time, their miscommunication between waiters and the water issue, the food was good. I would come back :)",4.0,"Dec 23, 2023"
My first experience here was really great! Lots of meat varieties and you can ask them for a specific one and they'll call their staff over to serve you. We got happy hour drinks and the passion fruit cocktail was the favorite.Meats ranked in order of our favs:PicanhaBottom sirloinChicken drumstickTenderloin (only saw it come around once and it was ok)Top sirloinSides: cheesey bread and the honey cheese were really goodService was great and they checked on us very often. Definitely recommend coming for a nice treat for a birthday or anniversary!,5.0,"Oct 14, 2023"
"Great food and top notch quality service. I stopped by after several attempts to eat at other locations and I was glad I made the right choice. The ambiance was amazing and the restaurant had dim lighting. I have to give a shout out to Christian, who had just started his first day of employment and he was brilliant and took great care to make me. The Churrasco experience is the way to go. (76pp) was more than worth the price.",5.0,"Feb 15, 2024"
"Malique, we're thrilled to know that your visit provided you with great food and top-notch service, making your dining choice a memorable one! It's fantastic to hear that Christian impressed you on his very first day. We value your appreciation and believe that the Churrasco experience indeed offers something special. Looking forward to welcoming you again soon! ",5.0,"Aug 22, 2023"
"If you have ever been to this Brazilian steakhouse, I would say it is even more worth it with their special $45 per person meal. Hands-down, one of the best experiences I've ever had, besides from the awestruck interior, the service and food quality were on par! Veggies and appetizers were very fresh. But don't make the mistake I made by getting full on these apps. The cuts of meat came to our table as long as we had our tags faced up to green (red means no more!). Meats were portioned out well with a lot of varieties. My friend does not eat pork but still trie a lot of different cuts. Best of all was their cheesy bread (not shown), which also comes as part of your all you can eat meal. On top of that, Service was top notch. I did not request a celebration for my birthday month, but they were kind enough to send a crème brûlée to our table which was, no surprise, fantastically smooth, not overly sweet, yet refreshing. Definitely would recommend! And try to make it for their special pricing if the deal hasn't ended!",5.0,"Oct 29, 2023"
"Went there for our anniversary. Extremely nice ambience. Waitress was very friendly, and we got seated immediately, She told us how the process worked and soon the waiters started coming up to us with different cuts of meat.The meat was very nice, although a bit unseasoned. We really enjoyed Garlic Chicken and the Pork Sausage. They try to give you these complimentary puff balls as appetizers but I do not recommend you eat any of it since it fills you up and you end up not eating as much meat.I ordered a Chocolate Cake with Vanilla Ice Cream as a dessert and it was fantastic.TLDR: Very nice place, good selection of meats (needs more salt), friendly & professional staff, very nice dessert.",3.0,"Nov 11, 2023"
"This Brazilian steakhouse can be gluttonous fun, more if it's on a corporate dime, but no matter how much they charge (and it's a lot) it doesn't feel high end. Came here for a large birthday party. We were about 30 people and took up two tables. A party that size is forced to have a pre fix price per person, which is understandable, but we couldn't help noticing that smaller dining parties got a larger variety of meats that were brought more often. Additionally, the non meat eaters at our table, who had to pre order salmon, had to pay the same for the fish as those paying for unlimited steak. So while the whole place can be fun it sucks a little to feel like you're overpaying.",4.0,"Dec 24, 2022"
"This birthday celebration should have been wonderful, and we apologize for falling below your expectations, Lana. Your feedback is important to us, so if you would like to discuss your visit directly, please feel free to send an email to feedback@fogo.com with the best way to reach you. Kind regards. ",3.0,"Dec 26, 2022"
"bring your appetite because Fogo de Chao has the meats--plus so much more other food! Churrascaria (Brazilian bbq) is a feast of endless types of bbqed meats (about 13 different kinds from ribeye to bacon-wrapper chicken to ribs) that are sliced and served at your table by roving waiters and the experience is rounded out by a fantasy island of a salad bar (serve yourself). really enjoyed the Picanha (top sirloin), ribeye, and ribs--all the meats tasted high quality and were really well seasoned. and the salad bar is large and full of variety from fresh veggies to rice & beans to cheeses and so much more and is constantly refreshed. don't forget to order a caipirinha or two...anyway my main takeaways is the food options are high quality. the restaurant itself is gigantic--multiple floor of dining. the space has a classy feel without feeling snooty. the service is excellent and the staff works hard to make sure your meal goes well. ended up having a table on the top floor which was the smallest dining space so it was a little more intimate while still maintaining the energetic vibe of churrascaria. Fogo is definitely where you should bring your appetite and expect to have a fun night. great option when you have family and friends in town or looking for a different kind of dinner experience in NYC.",3.0,"Jan 1, 2023"
"Christmas Eve dinner was so unenjoyable we'd never consider going back, even with the gift-card I have in my wallet.Arriving at 3:35 for a 3:45 reservation will get you seated by about 4:30 apparently and being that it's such a big place, they cannot heat the rooms anywhere above ""super cold degrees""So while you stand for a half hour waiting for your table, reservation or not, you also get to be so cold you'll need to huddle together... yet they still ask people if they wanted to check their coats... imagine!?  I can't at all imagine not having my coat for that wait let alone once being sat at the table and still needing to bundle up.It was so cold that the food skewers wouldn't even be warm when cut and served table side.   I just wanted my mother to come have a decent time visiting me in the city on christmas; I really wouldn't have expected it to go that far south.  The salad bar is tiny but you'll be full in three seconds, no matter what you start grabbing- pro tip, save room for the meat, you're paying a lot for it.The lamb was phenomenal and hands down the best meat served while there.A few others were great and most everything was good but I'd expect to roll out the door at a place like this which wasn't the case, I ate a moderately small amount as I was just so uncomfortable and mad.The manager comped meals and made it right; they apologized and I understand it was a brutally cold night but I think they have a responsibility to keep everyone warm or say something beforehand.    Because they made it right, I'll keep the star rating three, but even if it was warm I think I'd prefer other similar places.",5.0,"Jul 9, 2023"
"I'm still trying to recover guys and gals...I went with a friend on their lunch special ..which included the salad buffet ..this place is gorgeous .seated below the ground level..waitresses and waiters with suits and ties..staff was EXTREMELY attentive. However you don't necessarily have to dress up..everything and everyone is welcome ..NOW THE FOOD ! Baby if you know how Brazilian steakhouses are ""governed"" prepare yourself ..meat ;after meat ;after meat ..TENDER ..delicious ..pork , bacon wrapped chicken; lamb; sliced sirloin ..and  it's a heavy rotation ..the DRINKS WERE ""blessed and highly favored "" just the right amount ..the salad bar had an assortment of different salads and greens ..the killer was the PRICE ..for two of us ------ under one hundred fifty price tag ..the only peeve was...they asked many times if we wanted dessert too many times ...but listen that's a part of the job ...it's awesome .....",4.0,"Dec 2, 2023"
"So disappointing. Had  dinner  last night with friends at Fogo.  The food and service were subpar to say the least. The meat was not coming frequently as usual and the servings in the table; cheese bread, polenta and plantains were even more scarce - - - I had to keep asking them for water, drinks and extra servings. Last time we have an abundance of food coming to the table.  They didn't have half of the dessert options and took out the pudim (Brazilian fan)  from the menu as well.  I don't understand how this restaurant changed so drastically in 6 month from my last visit.Now they also have a cheaper version of the rodízio to attract more people which is fine but don't compromise the quality of the food and service for everyone. They are cutting corners to make more money. What didn't change was the price of my bill of course! Paid 460 dollars for 4 people. Time to look for another churrascaria in Manhattan - - - not coming back here.",3.0,"Jul 16, 2023"
"We can assure you our high standards have not changed, and it's concerning to hear you feel this way. If we can do anything to restore your trust in us, please let us know. Kindly send us your phone number and availability at feedback@fogo.com. Warm Regards. ",5.0,"Jan 29, 2023"
"FANTASTIC! As a born and raised Brazilian from Porto Alegre City - - - the so called churrasco capital of my county, I was very impressed! We had the ""churrasco"" ( BBQ) and the quality of the meat was second to none. It was like we were eating in Brazil.  The side dishes tasted just like our home made food with all the authentic flavors. They also have a vast salad bar with top quality cheeses, cold cuts etc.  The venue itself is trendy and very spacious with a cool decor reminding the origins of this type of restaurant from the most southern State of Brazil. The service was very efficient and friendly - - - shout out to our waiter Paulo! Again, we loved this restaurant and will be coming back for sure but just be aware that it is not a cheap place. Having one drink and dessert you will dish about $150 per person.",4.0,"Aug 2, 2023"
"I went on a Tuesday night to celebrate my boyfriends cousins birthday! I had a really good time. The food and service was also really good! The place itself is gorgeous. When you get to your table they start you off with cheesy bread and drinks, I ordered a skinny Margarita. It was refreshing and had the perfect amount of lime. My boyfriend had the passion fruit caipirinha I found that to be too sweet for me. After that you get up and serve yourself from the market buffet. The caprese and Cesar salads were my favorite. They also had fruits, veggies, salami, dressings & so much more! After that the servers come around with the meats. It's so many kinds I couldn't even keep track of them. My favorites were the sirloin, filtet mignon, & churrasco. I asked for my meats to be medium well. I wasn't a fan of the lamb but others at my table seemed to enjoy it. They also give you sides of mash which is to die for, plantain & something like yuca fries. To end our meal we had dessert they brought us cheese cake, chocolate mousse cake, & key lime. The cheese cake was the star, the chocolate mousse was also good but the key lime pie was not the best it was like biting into a lime. Overall I would recommend this restaurant for a special occasion as it is on the pricer side. The food is good and the service is truly excellent. The staff is really attentive and makes sure you're taken care of! Thank you Fogo de Chao!",5.0,"Jan 1, 2024"
"As an appetizer, we ordered caviarServed with small potatoes, freshly baked, super soft, and caviar are good friendsFor main meal we ordered bison and duck breastBoth were super delicious. I have never raised bison.I was a little scared at first, but after taking a bite, I almost broke my glasses.So gentle! You can see the cross section in Figure 2Perfect medium rare gravy locked insideAlmost everyone in the restaurant has this dish and the whole family must order it!The duck breast was also very tasty. The caramel and duck meat on the outer layer makes me feel that this duck's life has not been in vainThere were a lot of things on the menu that I wanted to order, but there were only two of us and we couldn't eat because we were already full, hahahahaLater we asked the waiter and found out that they had just opened less than a year ago. They are really delicious. Each dish is simple but full of harmony. Even simple French fries are delicious. You can try it when you have time. I really recommend it",3.0,"Dec 3, 2023"
"2nd time here. Service is good, food is good, drinks are great but some things cannot over look. Way too many people here. Can barely walk around. I'm sure it's over capacity on weekends. One salad bar for the entire place is ridiculous. Barely able to load plates at the salad bar as it is packed with 50 people at once. Need a second salad bar. Also Hundreds of people inside by front area waiting for a seat makes going to the bathroom while dining an ordeal. Not worth spending that much money and being uncomfortable the whole time. Either limit the amount of people in the place or make place bigger.  We had a group of 20 and it wasn't a great experience. Other locations are not as bad. NYC one is not worth returning too.",4.0,"Dec 7, 2022"
"Your experience at our restaurant should always be worth it, Jerry. If there is anything we can do to ensure your return, please let us know in an email to feedback@fogo.com. With this, be sure to include your contact information and availability. Thank you. ",5.0,"Dec 8, 2022"
Great service. Location excellent. Clean and spacious. Staff pleasant. Salad bar was good. But lox was small and very soft. Cheese was lacking as compared to other locations. Everything else was good. Meats were very good except for the chicken which was lacking flavor. Sea bass was a very small portion. All drinks we had were excellent. Kids loved the milky lemonade drink. Prices fair Had great time and will return.,5.0,"Nov 10, 2023"
"My boyfriend and I came here last minute for our anniversary.  The other restaurants were booked for a Saturday, and I had told him I came to another Fogo de Chao from a Yelp event and it blew me away.I didn't know how much it was, I expected it to be expensive but not as expensive as this.  He didn't mind paying and wanted to go.As soon as we get in you're taken aback by the atmosphere, and as you look down the staircase you're in aw.  The hostesses were great, seated us quickly (it was an earlier dinner, though).  Although by the time we left - the lobby was full - they should really get more seating.  Unless they do and it was just because the christmas tree was there.Anyway, our waitress was named Genesis.  She was one of the best waitresses I've ever had.  She made our experience fantastic.  She offered us a light because it was so dark, super nice of her, when noticing nobody else got a light around. She asked if we were here for a special occasion and we had told her.So as the night goes on, we had a great dinner.  Dinner is EXPENSIVE.  $75 for unlimited meats, but the trick is they fill you up on umlimited mashed potatoes (which were amazing btw), yuka fries and plantains, along with the buffett ""salad"" (but more) bar.  He said their meats were fantastic.  I ordered the salmon cause I can't fathom spending $75 on a plate of food.  So we got pretty stuffed quickly, and as he asked for the check, Genesis gave us a cheesecake plate that wrote Happy Anniversary.  She made this dinner incredible and such a sweet lady. We were so grateful!The other staff as well were just so incredibly on point. I'm so suprised it's a chain restaurant with such great quality and quantity.",3.0,"Jan 8, 2024"
"I came here with some of my friends, and this restaurant can give you a very good ambiance. Worth paying for their ""eat all you can"" deal as well as the creme brulee. I can say it's one of the best deals I've paid for. Nothing special with their drinks, but our dining experience is worth it. Great service as well!",4.0,"Nov 7, 2022"
"Meat quality remains great although it does feel like they come around repeatedly with the same options. We've been to other locations but this one by far was the worse. The waiter messed up our drink order the first time. The second time he never brought the drink, and the third time we had to ask other waiters because we still hadn't received them. They also messed up the drinks, tasted very off, so we had to send them back. We had about 3 different people wait on us to the point where we didn't even know if our first waiter was still our server. He also brought out the sides (potatoes, polenta, plantains) after we turned our card red and were done eating. When we asked if we could pack a few of the leftover cheese puffs to go they said no and that we had to pay for them. Seemed like a tacky thing to do since they are complimentary and should be thrown out anyway of we didn't consume them. Overall we love the food and the market table is tasty but service needs major work.",1.0,"Feb 18, 2024"
"Ofelia, thank you for your remarks on the quality of our meats and the Market Table offerings. However, it’s disconcerting to hear that the service at our New York location did not meet the high standards we are dedicated to providing. We apologize for the confusion regarding your service and the drink mix-ups, as well as any misunderstanding concerning our complimentary items. We take all of your points seriously and wish to rectify any service shortfalls. Please contact us at feedback@fogo.com with your phone number and preferred time for a call, so we can discuss your concerns in detail. We value your patronage and look forward to the opportunity to elevate your service experience to match the quality you love in our food. Thank you. ",1.0,"Apr 3, 2022"
"Ismael and the other servers  did such an amazing jog serving us tonight.We celebrated my moms birthday and we had an amazing time! Perfect night, amazing food!",5.0,"Aug 25, 2023"
You can tell the food is old and been out for days and the meat  does not taste good. You will get an upset stomach if you come here.,2.0,"Jan 28, 2024"
"Carolyn, we're genuinely disheartened to hear about your recent experience at our restaurant. Freshness and the quality of our cuts and Market Table are of utmost importance to us, and your feedback is taken seriously. To address your concerns and discuss how we might better serve you in the future, please reach out to our team at feedback@fogo.com with your phone number and availability. Thank you. ",5.0,"Oct 16, 2022"
"My favorite place for Brazilian bbq in midtown. Fogo de Chao is both a hardy choice and good for what you pay for. Location: Located right across from the Modern and not far from the MOMA, Fogo de Chao is in an easy to find location in Midtown. Food: We decided to go for the full service which includes salad bar and meat. The salad bar was well stocked and had a variety of cheeses, in addition to your traditional salads and dressings . Of course, though, the real star of our meals was the unending parade of meat that came to our table - everything was well cooked and tasted delicious. I also really liked the cheesy bread. Service: The service was really attentive, and we all were very satisfied with the service. Price: Not cheap, but great if you consider how much meat you get for how much you pay.  Verdict: Simply good and hearty Brazilian.",4.0,"Oct 7, 2022"
"This is my first time in the NYC location. I've tried the Boston one before and this one is pretty much the same. They come around very frequently with all different sorts of meat cuts and you can get as much as your heart desires. I think there's definitely a strategy involved here where you want to sample as much as possible but don't want to get full too early, so it's good to split some of the cuts with a friend or partner. The meat itself is not bad but some pieces can be very dry or tasteless, so YMMV. The unlimited salad bar is also pretty decent but the food quality varies. Some of the vegetables don't taste very fresh, but their watermelon is pretty good - I could feel my stomach ballooning up with all the watermelon I ate. I probably won't be coming back here until a year or 2 later because you definitely need a lengthy recovery time after having AYCE brazillian meat.",5.0,"Sep 19, 2022"
What an amazing experience. This is the first time I got to come to the NYC location. It was such a great experience. The waiters were very attentive. The customer service was A1 you can tell they are constantly watching they came over to my table to remove plates.. refill water.. get drink orders they were consistently in and out so helpful.The unlimited meat options coming to the table was great!! Some meat I liked more than others but all were good. They had happy hour drink options during dinner but my favorite drink was the pineapple one they walk around offering.The salad bar was good everything looked fresh as soon as things got low they grabbed it to replace. Such a great experience I will be back!,5.0,"Oct 21, 2023"
"Came for a wedding brunch, restaurant had a separate party room which was very nice and private. As a vegan I was grateful for their salad bar and vegan cauliflower steak option (originally comes vegetarian but they can make it vegan if you ask). Food was delicious and drinks were as well. Will gladly return!",4.0,"Sep 27, 2022"
"I came here this past Friday night for a wedding rehearsal dinner and had a nice first time experience at Fogo de Chao. There is a buffet for non-steak options where you can get ample of vegetables, cheese, and other delicious foods. If you're here to get your fill for steak, then don't let the buffet distract you! Otherwise, I found the mozzarella, Caesar salad, cauliflower, and sliced pineapples to be quite delicious. they also had some cured hams and pepperoni if you want something more like a charcuterie board. Fogo de Chao is crowded so the servers will come by with steaks on a stick like a large skewer. They told us we would be trying 16 types of meats but it's honestly pretty hard to hear what you're trying since they're pretty busy trying to get to other tables as well. I'm not even sure if I tried all 16 types but my rule of thumb is if it looks fresh out of the oven and tasty, then ask for a slice or two. I personally found some cuts to be pretty dry and/or lacked seasoning. However, there were a few steaks I tried that were absolutely delicious and salted very well, and so tender! It is definitely very heavy, though. Fogo de Chao is probably not somewhere I'd go to very often because of that. The desserts were pretty sweet and heavy as well. I could only stomach a few bites of each one. Overall, good first time experience. It is quite crowded and the servers have a lot to do so you might not get all the cuts you'd want to try.",2.0,"Dec 26, 2023"
Came here for Christmas. We had a reservation at 8pm and were seated shortly after. We enjoyed drinks at the bar while we were waiting. Once seated we ordered two more drinks and did the full experience. We have been to several Fogo De Chaos all over so this is not new to us.The waiter told us to go enjoy the salad bar so we did. We noticed there was no place cards on the table we figured since it was busy maybe that's why he told us to go to the salad bar. We waited another 10-15 mins and we were just sitting there wondering where the cards for. He said he forgot and put them down. After that we immediately started getting different types of meats. That service was fast and they were attentive. We didn't see the waiter again we had to stop someone else who looked like a manger to ask for a dessert menu. Then finally we got the waiters attention to order the dessert. We could not get his attention for the check we spend more time waiting from wanting to order dessert to trying to pay the bill than we did eating. The waiter is what ruined our experience. The overall quality of the meat is the same that we have experienced at all the fogo de chaos so that came out expected it was the service which made the experience lack. We would not come back to this location for that reason.,5.0,"Feb 16, 2024"
"Your Christmas dinner should have been excellent and we're sorry it left more to be desired. Our team would like to work with you to give you the five-star experience you deserve. When you have a moment, please contact us at feedback@fogo.com with your phone number and availability. Thank you. ",4.0,"Feb 28, 2023"
The BEST chocolate covered pineapple and lemon rice I have ever had! WOW!  Fogo de chao is the best in town!,5.0,"Jan 7, 2024"
"When a friend from out of town wanted to have lunch here I was baffled - it's a chain, and why wouldn't you want to go somewhere local in nyc?  But after a visit I was sold.  For $20 you get unlimited salad bar and for $10 more you can get prime beef.   For nyc - it's fairly good price and good quality.  The salad bar has salad, cheeses, cold cuts, fresh papaya, fresh pineapple, pastas, marinated mushrooms and more.  I never get to try everything. There's so much food I can't write it all, but it's like being on a cruise.  If you get a meat you get mashed potatoes, Maduros, and fried yucca.  One of the best things is the starter croissant round w melted cheese inside.  Come hungry.",4.0,"Aug 7, 2023"
"Wow! This place is amazing. My friend goes here a lot and posts the pics on Facebook, so I was dying to come here. Finally made it and had the all you can eat salad bar.  Delicious and great price! Incredible service from Johnny and Nielsen",5.0,"Sep 4, 2023"
"Everything was flavorful and hot off the grill stick so to speak. As advised, I would only have 2 pieces of the original fat capped picanha steak. Top and bottom sirloin, filet and garlic steak kebab. I get it. Service and ambiance were also plentiful and courteous, but for the wait on rib eye (we'd never get) and garlic steak. But we were passed our fill already. And the fried cheese, fried polenta and best- cheese balls.",4.0,"Jan 18, 2023"
"Service was ALL OVER THE PLACE, taking many minutes to seat us, bring us water, and our drinks when we were very quick and concise with ordering. Steaks were cut nice but seasoning and cooking temp ""medium, rare, etc"" were very off. As the only person in my group who was fine with eating rare cuts I was handed MANY large pieces of fully rare steak from people who asked for medium or medium rare cuts. Frankly the maple bacon from the self serve bar was the best item I had tonight. Was an ok experience but definitely would not go again!",1.0,"Jan 3, 2024"
"Raazy, we apologize for the disorganized service and inconsistency in cooking temperatures during your visit. This certainly isn't indicative of our standards. Your feedback is integral for our improvement. Please email us at feedback@fogo.com for a direct follow-up. Thank you for your patience. ",5.0,"Aug 8, 2023"
"It's very crowded and noisy but worth it for the food in my opinion. Young children are noisy in general so if you have kids I actually think this is a good environment to eat with them. If they are below a certain age (forgot which exactly but went with a 5 year old and that was definitely young enough) they can eat the buffet and endless meat for free.The buffet and endless meat is great - especially worth it for anyone with a big appetite. Options for anyone no matter what their diet is (yes, that includes vegans and vegetarians). I would definitely go back.",4.0,"Jul 20, 2023"
"This place is amazing. 3rd time here and each time the service, food is excellent. Came tonight to take advantage of their special offer to see how they differ from the regular price dinner of 75.00. Few prime cuts were omitted  but nevertheless it was still satisfying. Will definitely come back again",5.0,"Aug 16, 2023"
Just stopped in for drinks and a quick snack after visiting the Moma. The drinks and service were amazing. I say at the cute bar in the rear of the street level.,5.0,"Dec 25, 2023"
"We visited the new Wayne, NJ location and it was fantastic. The staff was friendly and helpful. Ari our server was attentive, Gary was keeping our plates full, Albi was helping us select the best cuts for our palates. The shrimp cocktail was delicious, the picanha on point and the table side caipirinhas (and the strawberry hibiscus one) were delish! Great vibe for a relaxed upscale dining experience. Definitely coming back and want to try the bar menu next!",4.0,"Feb 10, 2023"
"We sat upstairs to do the meats. Andrea and Ana did everything for us to have a lovely experience. And they scored!! All the meats were delicious!! Also we tried the wagyu ribeye, it literally melts in your mouth. Definitely we are coming back.",5.0,"Dec 9, 2023"
"How does one note ""better than superb service"" ! I hosted an event for 25 persons in one of the private rooms for my anniversary. From beginning to end , Natalia , the servers and the gauchos made my event spectacular . The food was  AMAZING and the decor works for any event !! Timeliness, quality and smiles are ALWAYS a great recipe for a successful event. My guests and I will surely be returning !",5.0,"Sep 26, 2023"
